ra,dec,r_auto,mn170_pS
328.362,0.3716,15.89,0.99435824
9.8764,0.1699,15.89,0.0019689596
47.033,-1.2368,15.9,0.9943673
350.3926,0.4478,15.9,0.9943668
15.2546,-0.4123,15.9,0.8631383
43.9736,0.8604,15.9,0.55101186
16.5481,-0.6168,15.9,0.9943482
350.9878,0.5908,15.9,0.0018506134
37.7887,-0.1869,15.91,0.03159398
354.546,-0.463,15.91,0.61979866
15.844,-0.4617,15.91,0.2797822
11.5791,0.3776,15.91,0.13694844
353.1702,-0.5632,15.91,0.0029739733
17.0454,-0.1014,15.91,0.9943673
332.4522,0.8294,15.91,0.9779221
327.3283,-1.0071,15.91,0.7608371
14.5622,-0.2269,15.91,0.99371207
30.8075,1.0068,15.91,0.9943591
28.3756,-1.0955,15.92,0.07953799
18.6244,0.2153,15.92,0.9943672
2.8114,0.4779,15.92,0.8878403
18.703,0.23,15.92,0.82530063
50.2921,-0.2214,15.92,0.99322754
39.0583,-0.6976,15.92,0.9943673
318.2823,1.2298,15.92,0.9935184
346.6024,0.1616,15.93,0.9942063
2.2827,-0.6064,15.93,0.8729938
57.9737,-0.3774,15.93,0.004152107
14.3638,-0.5684,15.93,0.98776
322.7645,-0.5762,15.93,0.007029806
359.922,0.6371,15.93,0.0018022413
18.0112,-0.2637,15.94,0.9632744
319.0361,-1.2598,15.94,0.9943673
16.4537,-1.1493,15.94,0.009309788
11.6203,0.106,15.94,0.01546094
330.5393,1.0445,15.94,0.99197054
336.0479,0.2272,15.94,0.7525012
31.5848,0.7199,15.94,0.20653422
36.49,1.2141,15.95,0.06801548
5.9554,-0.3009,15.95,0.9942761
312.1829,-0.9365,15.95,0.9938896
28.6142,-0.7956,15.95,0.99436694
343.2474,0.4499,15.95,0.99361306
28.903,0.978,15.95,0.9929416
323.7618,-0.1708,15.95,0.92869884
38.2958,0.0674,15.95,0.42338106
17.5788,0.1301,15.95,0.28310293
15.3262,-1.1684,15.95,0.0023504782
320.8462,1.0473,15.95,0.9943098
53.544,1.1033,15.95,0.9939719
337.0549,0.0307,15.96,0.04221867
330.7634,0.7433,15.96,0.99107134
53.5659,1.0227,15.96,0.9809749
326.0405,-0.8792,15.96,0.99403197
33.0384,1.0389,15.96,0.994344
323.135,1.0774,15.96,0.9761679
37.7135,0.7887,15.96,0.17792585
355.8617,0.3605,15.96,0.9455239
29.0857,1.0443,15.96,0.974132
340.6707,-0.4226,15.96,0.9524437
355.0825,0.1003,15.96,0.9943673
343.3874,-0.4118,15.96,0.5053858
324.092,0.9477,15.96,0.99436706
14.0865,0.9062,15.96,0.9943203000000002
11.2097,-0.1965,15.96,0.99434847
30.939,-0.9609,15.96,0.0021611943
16.36,-0.9,15.96,0.93462646
19.8539,0.6263,15.96,0.97755116
45.9752,-1.1876,15.97,0.99434966
52.5261,0.616,15.97,0.011081107
54.8918,-0.5119,15.97,0.99436283
322.242,-0.3423,15.97,0.99431396
8.2139,1.2195,15.97,0.9629465
40.6136,1.0373,15.97,0.9943289
2.3314,0.5992,15.97,0.9943672
350.3409,-0.3663,15.98,0.18365821
347.9783,-0.1856,15.98,0.9943508
8.0408,1.1435,15.98,0.9795242
22.0004,-0.9686,15.98,0.1292193999999999
13.5637,1.0778,15.98,0.99435246
52.7847,0.2281,15.98,0.9917604
13.0956,0.6674,15.98,0.15905939
359.8528,0.8541,15.98,0.9942931
30.2897,0.7916,15.98,0.99436706
13.2382,0.3882,15.98,0.9943672
0.0197,0.7817,15.99,0.9942853
37.7596,-0.6092,15.99,0.98133427
357.5432,-1.0168,15.99,0.9943652
12.9665,-0.2904,15.99,0.9943658
338.3632,0.7387,15.99,0.9943672
31.354,-0.5555,15.99,0.6896644000000001
18.2168,0.1794,15.99,0.9943505
40.4495,1.2021,15.99,0.19582959
1.0299,-0.2622,15.99,0.6091966999999999
324.2707,0.479,15.99,0.9278943
331.4256,-0.5613,15.99,0.98730356
19.6135,0.2855,15.99,0.9943667
53.5785,1.017,15.99,0.80169135
344.8814,1.2226,16.0,0.9931404
20.3347,-0.6143,16.0,0.19661061
50.2171,-1.0632,16.0,0.8330496999999999
2.389,-1.0858,16.0,0.9910557
20.4521,0.9432,16.0,0.84359723
350.1087,0.999,16.0,0.9943579
354.9898,0.135,16.0,0.99415576
316.9748,0.8759,16.0,0.99435
47.8192,1.1901,16.0,0.99436533
327.265,1.193,16.0,0.047872953
12.9474,0.9898,16.0,0.0019200426
39.7104,-0.0307,16.0,0.4298649000000001
21.3714,-0.0573,16.0,0.97358537
26.798,-0.6089,16.0,0.9943598
348.4473,-0.1359,16.0,0.9897168
36.4879,1.1867,16.0,0.9913272
316.0664,-0.3189,16.0,0.99436605
7.4461,0.1612,16.0,0.9943638
2.4216,-0.5313,16.0,0.9943672
18.6666,0.4688,16.0,0.9943462
337.9951,1.1841,16.0,0.002141503
337.5551,0.2285,16.01,0.9943305
39.5457,0.1778,16.01,0.9943673
352.7805,-0.6459999999999999,16.01,0.9943672
340.0007,-0.8291,16.01,0.96304286
56.2841,-0.9471,16.01,0.0040873066
6.2983,0.9628,16.02,0.99389124
347.81300000000016,0.526,16.02,0.9702398
2.2612,-0.794,16.02,0.93564534
327.7445,-0.8135,16.02,0.90200794
25.8188,0.9732,16.02,0.004852736
0.4175,1.092,16.02,0.3644402
41.8404,-0.4624,16.02,0.9943651
0.6652,0.9428,16.02,0.99436593
345.8806,0.9893,16.02,0.99404013
336.0158,0.3136,16.02,0.98056823
355.9463,0.7059,16.03,0.011683376
4.7379,-0.9712,16.03,0.035281554
26.4302,0.8787,16.03,0.4504153
46.8291,-0.7505,16.03,0.9939786
331.7334,1.2249,16.03,0.85543627
51.6019,0.7413,16.03,0.9943634
346.8666,-0.1285,16.03,0.9943604
38.544,-0.0018,16.03,0.83037734
12.7476,-0.2482,16.03,0.00276017
14.7671,1.0012,16.03,0.9925373
50.7016,-0.6202,16.03,0.9943587
315.0167,0.1984,16.03,0.015083101
348.0851,0.5873,16.03,0.07187698
354.4654,-0.4745,16.03,0.99423754
13.3024,-0.8,16.04,0.0019273637
13.609000000000002,-0.9282,16.04,0.99436617
33.1966,0.5759,16.04,0.99417084
14.1992,0.71,16.04,0.99436617
357.2725,0.3811,16.04,0.989317
325.3148,-0.2632,16.04,0.9941849
340.6985,-0.3218,16.04,0.9943673
334.7611,-0.7883,16.04,0.24538913
15.6807,0.7203,16.04,0.028283203
18.4882,0.3715,16.04,0.97699976
5.4054,-0.4744,16.04,0.99436706
30.6792,0.2257,16.04,0.023513092
56.2523,0.1022,16.05,0.53642094
342.9563,-0.8303,16.05,0.99205023
28.0577,1.2165,16.05,0.0019455318
17.0502,0.0706,16.05,0.34956455
7.3222,-0.0042,16.05,0.0023962338
357.9475,0.9728,16.05,0.0028713767
32.1129,0.5238,16.05,0.99435174
22.823,0.5055,16.05,0.088881955
55.7188,0.7534,16.06,0.99430037
53.5255,1.0944,16.06,0.9943673
21.7774,-1.1223,16.06,0.005702218
355.2664,1.0241,16.06,0.9940996
26.6449,-0.7026,16.06,0.04731793
18.542,0.2018,16.06,0.99325013
27.0586,-1.1692,16.06,0.0021289436
317.4465,0.2661,16.06,0.98526347
17.3651,-0.5801,16.06,0.9938882
7.5703,-0.4356,16.06,0.051743116
51.5399,-0.5717,16.06,0.92353207
29.9404,-0.5583,16.07,0.9940281
52.004,-0.6826,16.07,0.99436104
343.8395,-0.9476,16.07,0.0051842798
338.2219,-0.9066,16.07,0.22789323
8.5353,-0.2462,16.07,0.9934542
20.9482,0.2651,16.07,0.0021721208
24.3093,-0.6332,16.07,0.994365
19.5081,0.3144,16.07,0.9943673
24.6647,-0.0569,16.07,0.9617248
349.6415,0.8416,16.07,0.9943508
357.4328,1.2052,16.07,0.9909881
35.9916,1.2277,16.07,0.99416924
13.7968,-0.8101,16.07,0.25900093
22.2355,0.6332,16.07,0.9942678
21.1341,-1.1988,16.08,0.9936885
13.3388,1.2462,16.08,0.0018684381
333.0851,-0.9427,16.08,0.020582052
27.059,1.1297,16.08,0.0054216855
315.2237,-0.3875,16.08,0.32617497
325.8586,-1.185,16.08,0.98397094
32.9995,1.2181,16.08,0.99436647
323.5292,0.3689,16.08,0.9932954
0.515,0.6319,16.08,0.0018704338
33.9987,-0.0725,16.08,0.9939711
325.9012,-0.4784,16.08,0.0024435194
41.3274,-1.1983,16.09,0.9942404
310.8945,0.9678,16.09,0.036909472
1.8613,-0.706,16.09,0.9886796
48.4763,-0.802,16.09,0.78241235
7.2836,0.2795,16.09,0.9943440999999998
356.537,1.0304,16.09,0.011817596
28.3382,0.6404,16.09,0.0054347264
338.7276,-1.1796,16.09,0.7914825
40.5266,-0.6579999999999999,16.09,0.93189317
331.2802,-0.6664,16.1,0.0026403088
344.1345,0.3597,16.1,0.9931157
13.9403,0.7084,16.1,0.9700646
333.2274,0.9142,16.1,0.97656107
1.811,-0.6419,16.1,0.20440333
40.1829,0.5271,16.1,0.99436307
14.2704,-0.9191,16.1,0.17275183
353.1740000000001,0.2256,16.1,0.99435186
25.195,0.4783,16.1,0.6292309
41.521,-0.6509,16.1,0.039462563
11.4597,0.5401,16.1,0.985005
5.0929,-0.0499,16.11,0.0031436982
353.6234,-0.6896,16.11,0.99430543
24.8766,0.7827,16.11,0.30801404
9.4411,1.0942,16.11,0.9941314
338.9548,0.5392,16.11,0.9943668
1.1685,0.5841,16.11,0.002851445
330.3997,-0.843,16.11,0.99149173
6.0491,-0.705,16.11,0.27496248
10.695,0.3005,16.11,0.3772324
1.4742,0.4537,16.11,0.98800826
328.8507,-0.3378,16.11,0.03350267
342.4536,0.9619,16.11,0.0036096468
326.5171,-0.4712,16.11,0.9943046
354.9115,-0.0558,16.11,0.04992583
32.3702,-0.2069,16.12,0.0061127757999999
2.7041,-0.7326,16.12,0.08414168
40.7664,-0.3679,16.12,0.0020404914
314.5752,-0.3388,16.12,0.99435496
46.313,0.9845,16.12,0.9943673
28.0947,-0.3895,16.12,0.9943673
2.4011,-0.4661,16.12,0.99425715
314.8204,0.2899,16.12,0.33306426
329.2019,0.6863,16.12,0.013355073
345.4543,0.5920000000000001,16.12,0.0018701081
41.8381,-0.7482,16.13,0.99433315
42.2537,-0.8813,16.13,0.99034333
331.1692,0.174,16.13,0.008672411
38.6189,-1.1012,16.13,0.9943619
28.1506,0.6717,16.13,0.0018992713
8.9458,1.1349,16.13,0.9943673
26.788,-0.0371,16.13,0.60358375
27.5329,0.2204,16.13,0.049853206
15.8848,-0.3138,16.13,0.83238536
16.373,0.5096,16.13,0.9943672
7.7174,0.5289,16.13,0.99431545
13.8456,-1.2112,16.13,0.9943393
47.9149,0.7817,16.13,0.99069184
11.6417,0.0565,16.13,0.008361114
1.0576,1.0011,16.14,0.98640984
331.2126,0.3142,16.14,0.0024497162
18.9363,0.3324,16.14,0.9943672
20.1101,0.6975,16.14,0.0018164493
41.71100000000001,-0.8994,16.14,0.99435
12.4909,0.5698,16.14,0.0021606116
4.7517,-1.057,16.14,0.9819484
16.3395,-0.8381,16.14,0.99436545
314.4857,1.0758,16.14,0.9943663
315.2648,-0.0755,16.14,0.99362844
5.572,-0.9688,16.14,0.87408555
346.5734,1.0067,16.14,0.0019320492
30.7516,-0.2516,16.14,0.99433774
3.3776,0.6785,16.15,0.99432725
18.785,0.3036,16.15,0.9942526
2.0301,-0.7797,16.15,0.99436706
13.6938,0.4272,16.15,0.9943591
354.3085,0.4061,16.15,0.86884654
327.7665,-0.5821,16.15,0.05997394
39.4465,0.4051,16.15,0.9936494
14.1856,-0.8748,16.15,0.07564633
325.4537,-1.0382,16.15,0.026156936
34.3211,-0.4219,16.15,0.9943593
5.9159,-0.8153,16.15,0.98067147
14.0436,-1.1401,16.15,0.97145295
350.6896,0.6705,16.15,0.0020844622
8.0922,1.2016,16.15,0.9940565999999998
18.6344,0.5321,16.16,0.97948164
318.6714,-0.411,16.16,0.99370956
27.151,0.3162,16.16,0.33240718
18.8155,0.0881,16.16,0.99367976
322.1152,0.1821,16.16,0.009056214
50.8485,-1.2024,16.16,0.0035916632
29.9623,0.9381,16.16,0.99417466
346.451,-0.3149,16.16,0.16749893
30.6707,0.3794,16.16,0.99436307
1.8662,0.7853,16.17,0.9911431
338.5575,0.6082,16.17,0.0045775957
41.0966,-0.1785,16.17,0.0019194729
353.2675,0.053,16.17,0.9943012
11.6609,1.1527,16.17,0.0020129557
343.4014,0.0632,16.17,0.37350848
38.1724,1.1522,16.17,0.994364
340.4193,-0.8285,16.17,0.022606041
5.5666,-0.7569,16.17,0.994362
353.2472,0.722,16.17,0.99436545
6.6398,-0.6967,16.17,0.5819683000000001
324.5881,-0.6868,16.17,0.014083515
26.3649,-0.7422,16.17,0.9941379
22.5886,-0.9625,16.18,0.99436706
351.1183,-0.8096,16.18,0.039928246
15.0382,-0.017,16.18,0.9943634
15.5565,-0.4373,16.18,0.99436694
32.5876,-0.8955,16.18,0.14149794
18.9639,0.1469,16.18,0.99436545
14.0226,-0.455,16.18,0.67513424
359.3732,1.2396,16.18,0.8890264999999999
340.0803,-0.4937,16.18,0.0116794
326.6819,0.6717,16.18,0.0023640278
17.0312,0.8234,16.18,0.99396646
17.1586,-0.5018,16.18,0.49799898
52.6054,0.2738,16.19,0.99295205
8.8865,-0.1791,16.19,0.99354583
